,molecule_chembl_id,canonical_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
77,CHEMBL14563,Cc1cc2c(cc1Cl)N(C(=O)Nc1ccc(Oc3cccnc3C)nc1)CC2,inactive,394.8620000000002,5.133740000000003,1.0,4.0,4.0
78,CHEMBL274318,O=C1CC(c2ccccc2)Oc2ccccc21,inactive,224.259,3.3931000000000022,0.0,2.0,4.54515513999149
79,CHEMBL113739,C#CC[C@H]1CC2C(CCC3(C)C(=O)CCC23)C2CCC(=O)C=C21,active,310.437,3.9467000000000034,0.0,2.0,6.726998727936262
80,CHEMBL113121,C#CC[C@H]1CC2C3CCC(=O)C3(C)CCC2C2(C)CCC(=O)C=C12,active,324.46400000000006,4.336800000000004,0.0,2.0,6.7544873321858505
81,CHEMBL10137,COc1ccc2c(c1)OC(c1ccccc1)/C(=C\c1ccncc1)C2=O,active,343.38200000000006,4.490200000000003,0.0,4.0,6.2076083105017466
82,CHEMBL10072,O=C1/C(=C\c2ccncc2)C(c2ccccc2)Oc2ccccc21,intermediate,313.35600000000005,4.481600000000003,0.0,3.0,5.481486060122113
83,CHEMBL113082,C#CC[C@@H]1CC2C3CCC(=O)C3(C)CCC2C2(C)CCC(=O)C=C12,active,324.46400000000006,4.336800000000004,0.0,2.0,7.508638306165727
84,CHEMBL9687,COc1ccc2c(c1)OC(c1ccccc1)CC2=O,intermediate,254.285,3.4017000000000017,0.0,3.0,5.096910013008056
85,CHEMBL10026,O=C1/C(=C/c2ccncc2)C(c2ccccc2)Oc2ccccc21,active,313.35600000000005,4.481600000000003,0.0,3.0,6.096910013008056
86,CHEMBL2105261,C#CC[C@]12CCC(=O)C=C1CC[C@H]1[C@@H]3CCC(=O)[C@@]3(C)CC[C@@H]12,active,310.437,4.090800000000003,0.0,2.0,7.250263684430939
87,CHEMBL488,CCC1(c2ccc(N)cc2)CCC(=O)NC1=O,intermediate,232.28299999999996,1.3532,2.0,3.0,5.2839966563652006
88,CHEMBL109211,C#CC[C@@H]1CC2C(CCC3(C)C(=O)CCC23)C2CCC(=O)C=C21,active,310.437,3.9467000000000034,0.0,2.0,6.560667306169737
89,CHEMBL267508,COc1ccc2c(c1)OC(c1ccccc1)/C(=C/c1ccncc1)C2=O,intermediate,343.38200000000006,4.490200000000003,0.0,4.0,5.795880017344075
90,CHEMBL27879,CCCCCCCCCCN1C(=O)C2CC(c3ccc(N)cc3)(C2)C1=O,active,356.5100000000001,4.4261000000000035,1.0,3.0,6.647817481888637
91,CHEMBL27386,Nc1ccc([C@@]23C[C@@H]2C(=O)NC3=O)cc1,active,202.21300000000002,0.18289999999999967,2.0,3.0,6.0
92,CHEMBL287574,Nc1ccc(C23CC2C(=O)NC3=O)cc1,intermediate,202.21300000000002,0.18289999999999967,2.0,3.0,5.7447274948966935
93,CHEMBL488,CCC1(c2ccc(N)cc2)CCC(=O)NC1=O,intermediate,232.28299999999996,1.3532,2.0,3.0,5.721246399047171
94,CHEMBL488,CCC1(c2ccc(N)cc2)CCC(=O)NC1=O,inactive,232.28299999999996,1.3532,2.0,3.0,4.886056647693163
95,CHEMBL281947,Nc1ccc(C23CC2C(=O)N(CC2CCCCC2)C3=O)cc1,active,298.38599999999997,2.475600000000001,1.0,3.0,8.301029995663981
96,CHEMBL281947,Nc1ccc(C23CC2C(=O)N(CC2CCCCC2)C3=O)cc1,active,298.38599999999997,2.475600000000001,1.0,3.0,6.638272163982407
97,CHEMBL26543,Nc1ccc(C23CC(C2)C(=O)NC3=O)cc1,intermediate,216.24,0.5729999999999997,2.0,3.0,5.698970004336019
98,CHEMBL27546,Nc1ccc(C23CC(C2)C(=O)N(CC2CCCCC2)C3=O)cc1,active,312.413,2.8657000000000012,1.0,3.0,7.013228265733755
99,CHEMBL286506,CC(C)CN1C(=O)C2CC(c3ccc(N)cc3)(C2)C1=O,active,272.348,1.9414,1.0,3.0,7.2076083105017466
100,CHEMBL281947,Nc1ccc(C23CC2C(=O)N(CC2CCCCC2)C3=O)cc1,active,298.38599999999997,2.475600000000001,1.0,3.0,6.823908740944319
101,CHEMBL281947,Nc1ccc(C23CC2C(=O)N(CC2CCCCC2)C3=O)cc1,active,298.38599999999997,2.475600000000001,1.0,3.0,7.920818753952375
102,CHEMBL281947,Nc1ccc(C23CC2C(=O)N(CC2CCCCC2)C3=O)cc1,active,298.38599999999997,2.475600000000001,1.0,3.0,6.107905397309519
103,CHEMBL26651,CCCCCN1C(=O)C2CC2(c2ccc(N)cc2)C1=O,active,272.348,2.0854999999999997,1.0,3.0,7.638272163982407
104,CHEMBL27591,CCCCCN1C(=O)C2CC(c3ccc(N)cc3)(C2)C1=O,active,286.37500000000006,2.475600000000001,1.0,3.0,7.508638306165727
105,CHEMBL28173,CCCCCCCN1C(=O)C2CC(c3ccc(N)cc3)(C2)C1=O,active,314.4290000000001,3.2558000000000007,1.0,3.0,7.309803919971486
106,CHEMBL28290,COc1ccc(CN2C(=O)C3CC(c4ccc(N)cc4)(C3)C2=O)cc1,active,336.3910000000001,2.4942,1.0,4.0,6.619788758288394
