molecule_chembl_id,canonical_smiles,bioactivity_class,standard_value
CHEMBL31456,N#Cc1ccc(/C(=N\c2ccc(Br)cc2)n2ccnc2)cc1,active,7.7
CHEMBL31215,N#Cc1ccc([C@@H]2CCCc3cncn32)cc1,active,3.2
CHEMBL350074,CSCC[C@]12CCC(=O)C=C1CCC1C3CCC(=O)[C@@]3(C)CCC12,active,22.0
CHEMBL166032,C[C@]12CC=C3C(CCC4=CC(=O)CC[C@@]43CCSC#N)C1CCC2=O,active,1000.0
CHEMBL164543,C=CSCC[C@]12CCC(=O)C=C1CCC1C2=CC[C@]2(C)C(=O)CCC12,active,50.0
CHEMBL82981,C#CC(O)C12CCCC=C1CCC1C3CCC(=O)C3(C)CCC12,inactive,62000.0
CHEMBL165552,C[C@]12CC=C3C(CCC4=CC(=O)CC[C@@]43CCSSc3ccc([N+](=O)[O-])cc3[N+](=O)[O-])C1CCC2=O,active,1000.0
CHEMBL1629804,C[C@]12CC[C@H]3[C@@H](CCC4=CCCC[C@@]43C)[C@@H]1CCC2=O,active,530.0
CHEMBL285809,N#Cc1ccc(C2(c3ccc(C#N)cc3)CCCc3cncn32)cc1,active,233.0
CHEMBL351850,C[C@]12CC=C3C(CCC4=CC(=O)CC[C@@]43CCSCCCl)C1CCC2=O,active,1000.0
CHEMBL166148,C[C@]12CC=C3C(CCC4=CC(=O)CC[C@@]43CCSC(F)F)C1CCC2=O,active,1000.0
CHEMBL287677,N#Cc1ccc([C@H]2CCCc3cncn32)cc1,active,680.0
CHEMBL31224,N#Cc1ccc2c(c1)CCC=C2n1ccnc1,active,2.9
CHEMBL351526,C=CCSCC[C@]12CCC(=O)C=C1CCC1C2=CC[C@]2(C)C(=O)CCC12,active,270.0
CHEMBL351226,CSC(C[C@]12CCC(=O)C=C1CCC1C2=CC[C@]2(C)C(=O)CCC12)SC,active,1000.0
CHEMBL349851,C[C@]12CC=C3C(CCC4=CC(=O)CC[C@@]43CCSSc3ccccc3)C1CCC2=O,active,1000.0
CHEMBL440691,CC12CCC3C(CCC4=CCCCC43CO)C1CCC2O,intermediate,2300.0
CHEMBL83422,CC12CCC3C(CCC4=CCCCC43C)C1C[C@@H](Br)C2=O,intermediate,4100.0
CHEMBL132530,C[C@]12CC[C@H]3[C@@H](CCC4=C(O)C(=O)CC[C@@]43C)[C@@H]1CCC2=O,active,410.0
CHEMBL166060,C[C@]12CC=C3C(CCC4=CC(=O)CC[C@@]43CCI)C1CCC2=O,inactive,10000.0
CHEMBL439950,CC12CCCC=C1CCC1C2CCC2(C)C(O)CCC12,intermediate,7300.0
CHEMBL165106,C[C@]12CC=C3C(CCC4=CC(=O)CC[C@@]43CCSCF)C1CCC2=O,active,50.0
CHEMBL423096,C[C@]12CC=C3C(CCC4=CC(=O)CC[C@@]43CCSCCO)C1CCC2=O,active,1000.0
CHEMBL424185,C[C@]12CC=C3C(CCC4=CC(=O)CC[C@@]43CCOS(C)(=O)=O)C1CCC2=O,inactive,10000.0
CHEMBL166079,C[C@]12CC=C3C(CCC4=CC(=O)CC[C@@]43CCSC3CC3)C1CCC2=O,active,1000.0
CHEMBL165342,CS[C@]12CCC(=O)C=C1CCC1C2=CC[C@]2(C)C(=O)CCC12,intermediate,7400.0
CHEMBL93828,O=C1c2cccc(O)c2CCC1Cc1ccncc1,active,210.0
CHEMBL91992,O=C1/C(=C/c2ccncc2)CCc2cc(O)ccc21,intermediate,8600.0
CHEMBL419131,COc1ccc2c(c1)C(=O)/C(=C/c1ccncc1)CC2,inactive,13000.0
CHEMBL313774,O=C1/C(=C/c2ccncc2)CCc2ccc(O)cc21,intermediate,3000.0
CHEMBL91818,O=C1c2ccc(O)cc2CCC1Cc1ccncc1,intermediate,6200.0
CHEMBL90585,O=C1/C(=C/c2ccncc2)CCc2ccccc21,intermediate,9300.0
CHEMBL88233,COc1ccc2c(c1)CCC(Cc1ccncc1)C2=O,intermediate,3300.0
CHEMBL488,CCC1(c2ccc(N)cc2)CCC(=O)NC1=O,inactive,37000.0
CHEMBL488,CCC1(c2ccc(N)cc2)CCC(=O)NC1=O,inactive,37000.0
CHEMBL90077,O=C1c2cc(O)ccc2CCC1Cc1ccncc1,intermediate,4900.0
CHEMBL93666,COc1ccc2c(c1)C(=O)C(Cc1ccncc1)CC2,intermediate,9600.0
CHEMBL93828,O=C1c2cccc(O)c2CCC1Cc1ccncc1,active,170.0
